lab_id,product,cve,candidate_exploit_family,known_exploit_family,rank,rank_score,is_recommended,is_known_family,exposed_port_count,has_http_port_hint,image_count,compose_service_count,product_text,image_text,port_text,label_source
adminer-cve-2021-21311,adminer,CVE-2021-21311,xss,sqli,4,0.42,0,0,1,1,1,0,adminer,vulhub/adminer:4.7.8,8080:80/tcp,vulhub_directory_metadata_heuristic
airflow-cve-2020-11978,airflow,CVE-2020-11978,command-injection,command-injection,1,0.96,1,1,2,1,3,9,airflow,postgres:13-alpine | redis:5-alpine | vulhub/airflow:1.10.10,8080:8080/tcp | 5555:5555/tcp,vulhub_directory_metadata_heuristic
airflow-cve-2020-11978,airflow,CVE-2020-11978,auth-bypass,command-injection,2,0.78,1,0,2,1,3,9,airflow,postgres:13-alpine | redis:5-alpine | vulhub/airflow:1.10.10,8080:8080/tcp | 5555:5555/tcp,vulhub_directory_metadata_heuristic
airflow-cve-2020-11978,airflow,CVE-2020-11978,file-upload,command-injection,3,0.6,0,0,2,1,3,9,airflow,postgres:13-alpine | redis:5-alpine | vulhub/airflow:1.10.10,8080:8080/tcp | 5555:5555/tcp,vulhub_directory_metadata_heuristic
airflow-cve-2020-11978,airflow,CVE-2020-11978,deserialization,command-injection,4,0.42,0,0,2,1,3,9,airflow,postgres:13-alpine | redis:5-alpine | vulhub/airflow:1.10.10,8080:8080/tcp | 5555:5555/tcp,vulhub_directory_metadata_heuristic
apache-druid-cve-2021-25646,apache-druid,CVE-2021-25646,auth-bypass,auth-bypass,1,0.96,1,1,1,0,1,0,apache-druid,vulhub/apache-druid:0.20.0,8888:8888/tcp,vulhub_directory_metadata_heuristic
apache-druid-cve-2021-25646,apache-druid,CVE-2021-25646,broken-access-control,auth-bypass,2,0.78,1,0,1,0,1,0,apache-druid,vulhub/apache-druid:0.20.0,8888:8888/tcp,vulhub_directory_metadata_heuristic
apache-druid-cve-2021-25646,apache-druid,CVE-2021-25646,sensitive-data-exposure,auth-bypass,3,0.6,0,0,1,0,1,0,apache-druid,vulhub/apache-druid:0.20.0,8888:8888/tcp,vulhub_directory_metadata_heuristic
apache-druid-cve-2021-25646,apache-druid,CVE-2021-25646,command-injection,auth-bypass,4,0.42,0,0,1,0,1,0,apache-druid,vulhub/apache-druid:0.20.0,8888:8888/tcp,vulhub_directory_metadata_heuristic
apisix-cve-2020-13945,apisix,CVE-2020-13945,command-injection,command-injection,1,0.96,1,1,4,0,2,2,apisix,gcr.io/etcd-development/etcd:v3.4.15 | vulhub/apisix:2.11.0,9080:9080/tcp | 9091:9091/tcp | 9443:9443/tcp | 2379:2379/tcp,vulhub_directory_metadata_heuristic
apisix-cve-2020-13945,apisix,CVE-2020-13945,auth-bypass,command-injection,2,0.78,1,0,4,0,2,2,apisix,gcr.io/etcd-development/etcd:v3.4.15 | vulhub/apisix:2.11.0,9080:9080/tcp | 9091:9091/tcp | 9443:9443/tcp | 2379:2379/tcp,vulhub_directory_metadata_heuristic
apisix-cve-2020-13945,apisix,CVE-2020-13945,file-upload,command-injection,3,0.6,0,0,4,0,2,2,apisix,gcr.io/etcd-development/etcd:v3.4.15 | vulhub/apisix:2.11.0,9080:9080/tcp | 9091:9091/tcp | 9443:9443/tcp | 2379:2379/tcp,vulhub_directory_metadata_heuristic
apisix-cve-2020-13945,apisix,CVE-2020-13945,deserialization,command-injection,4,0.42,0,0,4,0,2,2,apisix,gcr.io/etcd-development/etcd:v3.4.15 | vulhub/apisix:2.11.0,9080:9080/tcp | 9091:9091/tcp | 9443:9443/tcp | 2379:2379/tcp,vulhub_directory_metadata_heuristic
cacti-cve-2022-46169,cacti,CVE-2022-46169,auth-bypass,auth-bypass,1,0.96,1,1,1,1,2,2,cacti,mysql:5.7 | vulhub/cacti:1.2.22,8080:80/tcp,vulhub_directory_metadata_heuristic
cacti-cve-2022-46169,cacti,CVE-2022-46169,broken-access-control,auth-bypass,2,0.78,1,0,1,1,2,2,cacti,mysql:5.7 | vulhub/cacti:1.2.22,8080:80/tcp,vulhub_directory_metadata_heuristic
cacti-cve-2022-46169,cacti,CVE-2022-46169,sensitive-data-exposure,auth-bypass,3,0.6,0,0,1,1,2,2,cacti,mysql:5.7 | vulhub/cacti:1.2.22,8080:80/tcp,vulhub_directory_metadata_heuristic
cacti-cve-2022-46169,cacti,CVE-2022-46169,command-injection,auth-bypass,4,0.42,0,0,1,1,2,2,cacti,mysql:5.7 | vulhub/cacti:1.2.22,8080:80/tcp,vulhub_directory_metadata_heuristic
cmsms-cve-2019-9053,cmsms,CVE-2019-9053,auth-bypass,auth-bypass,1,0.96,1,1,1,1,2,2,cmsms,mysql:5.7 | vulhub/cmsms:2.2.9.1,80:80/tcp,vulhub_directory_metadata_heuristic
cmsms-cve-2019-9053,cmsms,CVE-2019-9053,broken-access-control,auth-bypass,2,0.78,1,0,1,1,2,2,cmsms,mysql:5.7 | vulhub/cmsms:2.2.9.1,80:80/tcp,vulhub_directory_metadata_heuristic
cmsms-cve-2019-9053,cmsms,CVE-2019-9053,sensitive-data-exposure,auth-bypass,3,0.6,0,0,1,1,2,2,cmsms,mysql:5.7 | vulhub/cmsms:2.2.9.1,80:80/tcp,vulhub_directory_metadata_heuristic
cmsms-cve-2019-9053,cmsms,CVE-2019-9053,command-injection,auth-bypass,4,0.42,0,0,1,1,2,2,cmsms,mysql:5.7 | vulhub/cmsms:2.2.9.1,80:80/tcp,vulhub_directory_metadata_heuristic
coldfusion-cve-2023-26360,coldfusion,CVE-2023-26360,command-injection,command-injection,1,0.96,1,1,2,0,1,1,coldfusion,vulhub/coldfusion:2018.0.15,8500:8500/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
coldfusion-cve-2023-26360,coldfusion,CVE-2023-26360,auth-bypass,command-injection,2,0.78,1,0,2,0,1,1,coldfusion,vulhub/coldfusion:2018.0.15,8500:8500/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
coldfusion-cve-2023-26360,coldfusion,CVE-2023-26360,file-upload,command-injection,3,0.6,0,0,2,0,1,1,coldfusion,vulhub/coldfusion:2018.0.15,8500:8500/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
coldfusion-cve-2023-26360,coldfusion,CVE-2023-26360,deserialization,command-injection,4,0.42,0,0,2,0,1,1,coldfusion,vulhub/coldfusion:2018.0.15,8500:8500/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
confluence-cve-2021-26084,confluence,CVE-2021-26084,auth-bypass,auth-bypass,1,0.96,1,1,1,0,2,2,confluence,postgres:12.8-alpine | vulhub/confluence:7.4.10,8090:8090/tcp,vulhub_directory_metadata_heuristic
confluence-cve-2021-26084,confluence,CVE-2021-26084,broken-access-control,auth-bypass,2,0.78,1,0,1,0,2,2,confluence,postgres:12.8-alpine | vulhub/confluence:7.4.10,8090:8090/tcp,vulhub_directory_metadata_heuristic
confluence-cve-2021-26084,confluence,CVE-2021-26084,sensitive-data-exposure,auth-bypass,3,0.6,0,0,1,0,2,2,confluence,postgres:12.8-alpine | vulhub/confluence:7.4.10,8090:8090/tcp,vulhub_directory_metadata_heuristic
confluence-cve-2021-26084,confluence,CVE-2021-26084,command-injection,auth-bypass,4,0.42,0,0,1,0,2,2,confluence,postgres:12.8-alpine | vulhub/confluence:7.4.10,8090:8090/tcp,vulhub_directory_metadata_heuristic
confluence-cve-2022-26134,confluence,CVE-2022-26134,auth-bypass,auth-bypass,1,0.96,1,1,1,0,2,2,confluence,postgres:12.8-alpine | vulhub/confluence:7.13.6,8090:8090/tcp,vulhub_directory_metadata_heuristic
confluence-cve-2022-26134,confluence,CVE-2022-26134,broken-access-control,auth-bypass,2,0.78,1,0,1,0,2,2,confluence,postgres:12.8-alpine | vulhub/confluence:7.13.6,8090:8090/tcp,vulhub_directory_metadata_heuristic
confluence-cve-2022-26134,confluence,CVE-2022-26134,sensitive-data-exposure,auth-bypass,3,0.6,0,0,1,0,2,2,confluence,postgres:12.8-alpine | vulhub/confluence:7.13.6,8090:8090/tcp,vulhub_directory_metadata_heuristic
confluence-cve-2022-26134,confluence,CVE-2022-26134,command-injection,auth-bypass,4,0.42,0,0,1,0,2,2,confluence,postgres:12.8-alpine | vulhub/confluence:7.13.6,8090:8090/tcp,vulhub_directory_metadata_heuristic
couchdb-cve-2017-12635,couchdb,CVE-2017-12635,nosql-injection,nosql-injection,1,0.96,1,1,1,0,2,2,couchdb,buildpack-deps:focal-curl | vulhub/couchdb:2.1.0,5984:5984/tcp,vulhub_directory_metadata_heuristic
couchdb-cve-2017-12635,couchdb,CVE-2017-12635,auth-bypass,nosql-injection,2,0.78,1,0,1,0,2,2,couchdb,buildpack-deps:focal-curl | vulhub/couchdb:2.1.0,5984:5984/tcp,vulhub_directory_metadata_heuristic
couchdb-cve-2017-12635,couchdb,CVE-2017-12635,sensitive-data-exposure,nosql-injection,3,0.6,0,0,1,0,2,2,couchdb,buildpack-deps:focal-curl | vulhub/couchdb:2.1.0,5984:5984/tcp,vulhub_directory_metadata_heuristic
couchdb-cve-2017-12635,couchdb,CVE-2017-12635,sqli,nosql-injection,4,0.42,0,0,1,0,2,2,couchdb,buildpack-deps:focal-curl | vulhub/couchdb:2.1.0,5984:5984/tcp,vulhub_directory_metadata_heuristic
craftcms-cve-2023-41892,craftcms,CVE-2023-41892,auth-bypass,auth-bypass,1,0.96,1,1,1,1,2,0,craftcms,mysql:5.7 | vulhub/craftcms:4.4.14,8088:80/tcp,vulhub_directory_metadata_heuristic
craftcms-cve-2023-41892,craftcms,CVE-2023-41892,broken-access-control,auth-bypass,2,0.78,1,0,1,1,2,0,craftcms,mysql:5.7 | vulhub/craftcms:4.4.14,8088:80/tcp,vulhub_directory_metadata_heuristic
craftcms-cve-2023-41892,craftcms,CVE-2023-41892,sensitive-data-exposure,auth-bypass,3,0.6,0,0,1,1,2,0,craftcms,mysql:5.7 | vulhub/craftcms:4.4.14,8088:80/tcp,vulhub_directory_metadata_heuristic
craftcms-cve-2023-41892,craftcms,CVE-2023-41892,command-injection,auth-bypass,4,0.42,0,0,1,1,2,0,craftcms,mysql:5.7 | vulhub/craftcms:4.4.14,8088:80/tcp,vulhub_directory_metadata_heuristic
django-cve-2019-14234,django,CVE-2019-14234,command-injection,command-injection,1,0.96,1,1,1,1,2,2,django,postgres:9.6-alpine | vulhub/django:2.2.3,8000:8000/tcp,vulhub_directory_metadata_heuristic
django-cve-2019-14234,django,CVE-2019-14234,auth-bypass,command-injection,2,0.78,1,0,1,1,2,2,django,postgres:9.6-alpine | vulhub/django:2.2.3,8000:8000/tcp,vulhub_directory_metadata_heuristic
django-cve-2019-14234,django,CVE-2019-14234,file-upload,command-injection,3,0.6,0,0,1,1,2,2,django,postgres:9.6-alpine | vulhub/django:2.2.3,8000:8000/tcp,vulhub_directory_metadata_heuristic
django-cve-2019-14234,django,CVE-2019-14234,deserialization,command-injection,4,0.42,0,0,1,1,2,2,django,postgres:9.6-alpine | vulhub/django:2.2.3,8000:8000/tcp,vulhub_directory_metadata_heuristic
drupal-cve-2014-3704,drupal,CVE-2014-3704,auth-bypass,auth-bypass,1,0.96,1,1,1,1,2,0,drupal,mysql:5.5 | vulhub/drupal:7.31,8080:80/tcp,vulhub_directory_metadata_heuristic
drupal-cve-2014-3704,drupal,CVE-2014-3704,broken-access-control,auth-bypass,2,0.78,1,0,1,1,2,0,drupal,mysql:5.5 | vulhub/drupal:7.31,8080:80/tcp,vulhub_directory_metadata_heuristic
drupal-cve-2014-3704,drupal,CVE-2014-3704,sensitive-data-exposure,auth-bypass,3,0.6,0,0,1,1,2,0,drupal,mysql:5.5 | vulhub/drupal:7.31,8080:80/tcp,vulhub_directory_metadata_heuristic
drupal-cve-2014-3704,drupal,CVE-2014-3704,command-injection,auth-bypass,4,0.42,0,0,1,1,2,0,drupal,mysql:5.5 | vulhub/drupal:7.31,8080:80/tcp,vulhub_directory_metadata_heuristic
drupal-cve-2018-7600,drupal,CVE-2018-7600,sqli,sqli,1,0.96,1,1,1,1,1,0,drupal,vulhub/drupal:8.5.0,8080:80/tcp,vulhub_directory_metadata_heuristic
drupal-cve-2018-7600,drupal,CVE-2018-7600,auth-bypass,sqli,2,0.78,1,0,1,1,1,0,drupal,vulhub/drupal:8.5.0,8080:80/tcp,vulhub_directory_metadata_heuristic
drupal-cve-2018-7600,drupal,CVE-2018-7600,sensitive-data-exposure,sqli,3,0.6,0,0,1,1,1,0,drupal,vulhub/drupal:8.5.0,8080:80/tcp,vulhub_directory_metadata_heuristic
drupal-cve-2018-7600,drupal,CVE-2018-7600,xss,sqli,4,0.42,0,0,1,1,1,0,drupal,vulhub/drupal:8.5.0,8080:80/tcp,vulhub_directory_metadata_heuristic
elasticsearch-cve-2015-1427,elasticsearch,CVE-2015-1427,auth-bypass,auth-bypass,1,0.96,1,1,2,0,1,0,elasticsearch,vulhub/elasticsearch:1.4.2,9200:9200/tcp | 9300:9300/tcp,vulhub_directory_metadata_heuristic
elasticsearch-cve-2015-1427,elasticsearch,CVE-2015-1427,broken-access-control,auth-bypass,2,0.78,1,0,2,0,1,0,elasticsearch,vulhub/elasticsearch:1.4.2,9200:9200/tcp | 9300:9300/tcp,vulhub_directory_metadata_heuristic
elasticsearch-cve-2015-1427,elasticsearch,CVE-2015-1427,sensitive-data-exposure,auth-bypass,3,0.6,0,0,2,0,1,0,elasticsearch,vulhub/elasticsearch:1.4.2,9200:9200/tcp | 9300:9300/tcp,vulhub_directory_metadata_heuristic
elasticsearch-cve-2015-1427,elasticsearch,CVE-2015-1427,command-injection,auth-bypass,4,0.42,0,0,2,0,1,0,elasticsearch,vulhub/elasticsearch:1.4.2,9200:9200/tcp | 9300:9300/tcp,vulhub_directory_metadata_heuristic
flask-ssti,flask,,command-injection,command-injection,1,0.96,1,1,1,1,1,0,flask,vulhub/flask:1.1.1,8000:8000/tcp,vulhub_directory_metadata_heuristic
flask-ssti,flask,,auth-bypass,command-injection,2,0.78,1,0,1,1,1,0,flask,vulhub/flask:1.1.1,8000:8000/tcp,vulhub_directory_metadata_heuristic
flask-ssti,flask,,file-upload,command-injection,3,0.6,0,0,1,1,1,0,flask,vulhub/flask:1.1.1,8000:8000/tcp,vulhub_directory_metadata_heuristic
flask-ssti,flask,,deserialization,command-injection,4,0.42,0,0,1,1,1,0,flask,vulhub/flask:1.1.1,8000:8000/tcp,vulhub_directory_metadata_heuristic
flink-cve-2020-17518,flink,CVE-2020-17518,file-inclusion,file-inclusion,1,0.96,1,1,2,1,1,0,flink,vulhub/flink:1.11.2,8081:8081/tcp | 6123:6123/tcp,vulhub_directory_metadata_heuristic
flink-cve-2020-17518,flink,CVE-2020-17518,sensitive-data-exposure,file-inclusion,2,0.78,1,0,2,1,1,0,flink,vulhub/flink:1.11.2,8081:8081/tcp | 6123:6123/tcp,vulhub_directory_metadata_heuristic
flink-cve-2020-17518,flink,CVE-2020-17518,auth-bypass,file-inclusion,3,0.6,0,0,2,1,1,0,flink,vulhub/flink:1.11.2,8081:8081/tcp | 6123:6123/tcp,vulhub_directory_metadata_heuristic
flink-cve-2020-17518,flink,CVE-2020-17518,command-injection,file-inclusion,4,0.42,0,0,2,1,1,0,flink,vulhub/flink:1.11.2,8081:8081/tcp | 6123:6123/tcp,vulhub_directory_metadata_heuristic
geoserver-cve-2024-36401,geoserver,CVE-2024-36401,auth-bypass,auth-bypass,1,0.96,1,1,2,1,1,0,geoserver,vulhub/geoserver:2.23.2,8080:8080/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
geoserver-cve-2024-36401,geoserver,CVE-2024-36401,broken-access-control,auth-bypass,2,0.78,1,0,2,1,1,0,geoserver,vulhub/geoserver:2.23.2,8080:8080/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
geoserver-cve-2024-36401,geoserver,CVE-2024-36401,sensitive-data-exposure,auth-bypass,3,0.6,0,0,2,1,1,0,geoserver,vulhub/geoserver:2.23.2,8080:8080/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
geoserver-cve-2024-36401,geoserver,CVE-2024-36401,command-injection,auth-bypass,4,0.42,0,0,2,1,1,0,geoserver,vulhub/geoserver:2.23.2,8080:8080/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
gitlab-cve-2021-22205,gitlab,CVE-2021-22205,file-upload,file-upload,1,0.96,1,1,2,1,3,3,gitlab,postgres:12-alpine | redis:5.0.9-alpine | vulhub/gitlab:13.10.1,8080:80/tcp | 10022:22/tcp,vulhub_directory_metadata_heuristic
gitlab-cve-2021-22205,gitlab,CVE-2021-22205,command-injection,file-upload,2,0.78,1,0,2,1,3,3,gitlab,postgres:12-alpine | redis:5.0.9-alpine | vulhub/gitlab:13.10.1,8080:80/tcp | 10022:22/tcp,vulhub_directory_metadata_heuristic
gitlab-cve-2021-22205,gitlab,CVE-2021-22205,xss,file-upload,3,0.6,0,0,2,1,3,3,gitlab,postgres:12-alpine | redis:5.0.9-alpine | vulhub/gitlab:13.10.1,8080:80/tcp | 10022:22/tcp,vulhub_directory_metadata_heuristic
gitlab-cve-2021-22205,gitlab,CVE-2021-22205,auth-bypass,file-upload,4,0.42,0,0,2,1,3,3,gitlab,postgres:12-alpine | redis:5.0.9-alpine | vulhub/gitlab:13.10.1,8080:80/tcp | 10022:22/tcp,vulhub_directory_metadata_heuristic
grafana-cve-2021-43798,grafana,CVE-2021-43798,file-inclusion,file-inclusion,1,0.96,1,1,1,1,1,1,grafana,vulhub/grafana:8.2.6,3000:3000/tcp,vulhub_directory_metadata_heuristic
grafana-cve-2021-43798,grafana,CVE-2021-43798,sensitive-data-exposure,file-inclusion,2,0.78,1,0,1,1,1,1,grafana,vulhub/grafana:8.2.6,3000:3000/tcp,vulhub_directory_metadata_heuristic
grafana-cve-2021-43798,grafana,CVE-2021-43798,auth-bypass,file-inclusion,3,0.6,0,0,1,1,1,1,grafana,vulhub/grafana:8.2.6,3000:3000/tcp,vulhub_directory_metadata_heuristic
grafana-cve-2021-43798,grafana,CVE-2021-43798,command-injection,file-inclusion,4,0.42,0,0,1,1,1,1,grafana,vulhub/grafana:8.2.6,3000:3000/tcp,vulhub_directory_metadata_heuristic
grafana-cve-2024-9264,grafana,CVE-2024-9264,auth-bypass,auth-bypass,1,0.96,1,1,1,1,1,1,grafana,vulhub/grafana:11.0.0,3000:3000/tcp,vulhub_directory_metadata_heuristic
grafana-cve-2024-9264,grafana,CVE-2024-9264,broken-access-control,auth-bypass,2,0.78,1,0,1,1,1,1,grafana,vulhub/grafana:11.0.0,3000:3000/tcp,vulhub_directory_metadata_heuristic
grafana-cve-2024-9264,grafana,CVE-2024-9264,sensitive-data-exposure,auth-bypass,3,0.6,0,0,1,1,1,1,grafana,vulhub/grafana:11.0.0,3000:3000/tcp,vulhub_directory_metadata_heuristic
grafana-cve-2024-9264,grafana,CVE-2024-9264,command-injection,auth-bypass,4,0.42,0,0,1,1,1,1,grafana,vulhub/grafana:11.0.0,3000:3000/tcp,vulhub_directory_metadata_heuristic
h2database-cve-2021-42392,h2database,CVE-2021-42392,auth-bypass,auth-bypass,1,0.96,1,1,2,1,1,1,h2database,vulhub/spring-with-h2database:2.0.204,8080:8080/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
h2database-cve-2021-42392,h2database,CVE-2021-42392,broken-access-control,auth-bypass,2,0.78,1,0,2,1,1,1,h2database,vulhub/spring-with-h2database:2.0.204,8080:8080/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
h2database-cve-2021-42392,h2database,CVE-2021-42392,sensitive-data-exposure,auth-bypass,3,0.6,0,0,2,1,1,1,h2database,vulhub/spring-with-h2database:2.0.204,8080:8080/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
h2database-cve-2021-42392,h2database,CVE-2021-42392,command-injection,auth-bypass,4,0.42,0,0,2,1,1,1,h2database,vulhub/spring-with-h2database:2.0.204,8080:8080/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
httpd-cve-2021-41773,httpd,CVE-2021-41773,file-inclusion,file-inclusion,1,0.96,1,1,1,1,0,0,httpd,none,8080:80/tcp,vulhub_directory_metadata_heuristic
httpd-cve-2021-41773,httpd,CVE-2021-41773,sensitive-data-exposure,file-inclusion,2,0.78,1,0,1,1,0,0,httpd,none,8080:80/tcp,vulhub_directory_metadata_heuristic
httpd-cve-2021-41773,httpd,CVE-2021-41773,auth-bypass,file-inclusion,3,0.6,0,0,1,1,0,0,httpd,none,8080:80/tcp,vulhub_directory_metadata_heuristic
httpd-cve-2021-41773,httpd,CVE-2021-41773,command-injection,file-inclusion,4,0.42,0,0,1,1,0,0,httpd,none,8080:80/tcp,vulhub_directory_metadata_heuristic
jenkins-cve-2018-1000861,jenkins,CVE-2018-1000861,auth-bypass,auth-bypass,1,0.96,1,1,2,1,1,1,jenkins,vulhub/jenkins:2.138,50000:50000/tcp | 8080:8080/tcp,vulhub_directory_metadata_heuristic
jenkins-cve-2018-1000861,jenkins,CVE-2018-1000861,broken-access-control,auth-bypass,2,0.78,1,0,2,1,1,1,jenkins,vulhub/jenkins:2.138,50000:50000/tcp | 8080:8080/tcp,vulhub_directory_metadata_heuristic
jenkins-cve-2018-1000861,jenkins,CVE-2018-1000861,sensitive-data-exposure,auth-bypass,3,0.6,0,0,2,1,1,1,jenkins,vulhub/jenkins:2.138,50000:50000/tcp | 8080:8080/tcp,vulhub_directory_metadata_heuristic
jenkins-cve-2018-1000861,jenkins,CVE-2018-1000861,command-injection,auth-bypass,4,0.42,0,0,2,1,1,1,jenkins,vulhub/jenkins:2.138,50000:50000/tcp | 8080:8080/tcp,vulhub_directory_metadata_heuristic
jenkins-cve-2024-23897,jenkins,CVE-2024-23897,command-injection,command-injection,1,0.96,1,1,3,1,1,1,jenkins,vulhub/jenkins:2.441,50000:50000/tcp | 8080:8080/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
jenkins-cve-2024-23897,jenkins,CVE-2024-23897,auth-bypass,command-injection,2,0.78,1,0,3,1,1,1,jenkins,vulhub/jenkins:2.441,50000:50000/tcp | 8080:8080/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
jenkins-cve-2024-23897,jenkins,CVE-2024-23897,file-upload,command-injection,3,0.6,0,0,3,1,1,1,jenkins,vulhub/jenkins:2.441,50000:50000/tcp | 8080:8080/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
jenkins-cve-2024-23897,jenkins,CVE-2024-23897,deserialization,command-injection,4,0.42,0,0,3,1,1,1,jenkins,vulhub/jenkins:2.441,50000:50000/tcp | 8080:8080/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
jira-cve-2019-11581,jira,CVE-2019-11581,command-injection,command-injection,1,0.96,1,1,1,1,1,2,jira,vulhub/jira:8.1.0,8080:8080/tcp,vulhub_directory_metadata_heuristic
jira-cve-2019-11581,jira,CVE-2019-11581,auth-bypass,command-injection,2,0.78,1,0,1,1,1,2,jira,vulhub/jira:8.1.0,8080:8080/tcp,vulhub_directory_metadata_heuristic
jira-cve-2019-11581,jira,CVE-2019-11581,file-upload,command-injection,3,0.6,0,0,1,1,1,2,jira,vulhub/jira:8.1.0,8080:8080/tcp,vulhub_directory_metadata_heuristic
